Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1193,Bentley University,1.3,Phd,Detroit,M,N/A,0,1,0,ML Engineer,11/20,12/20,Data scientist,8/12,8/14,Data scientist,7/11,7/16
1194,Columbia University,1.3,Bachelors,New York City,N/A,1,0,0,2,Bus Driver,6/22,11/22,Data scientist,12/12,12/13,N/A,N/A,N/A
1195,Providence College,3.0000000000000018,Phd,Detroit,F,N/A,1,N/A,4,Lawyer,1/20,1/22,Lawyer,12/13,12/17,Lawyer,8/11,8/17
1196,SUNY Binghamton University,3.8000000000000025,Phd,Miami,M,1,1,0,3,Chef,2/10,2/19,ML Engineer,5/22,8/22,Junior SWE,3/11,3/17
1197,Providence College,3.8000000000000025,Bachelors,Providence,F,0,0,1,3,ML Engineer,7/18,10/18,Lawyer,9/14,9/20,Senior SWE,1/23,3/23
1198,SUNY Binghamton University,1.5000000000000002,Masters,Providence,M,0,1,N/A,4,Junior SWE,12/13,12/16,Senior SWE,8/14,8/15,Senior SWE,6/13,6/19
1199,Providence College,2.9000000000000012,Bachelors,Detroit,F,0,1,0,0,Junior SWE,8/19,8/22,Lawyer,1/22,2/22,Bus Driver,6/21,6/22
1200,Bentley University,1.9000000000000006,Bachelors,Detroit,N/A,0,1,0,3,Data scientist,11/13,12/13,Senior SWE,2/10,2/20,Bus Driver,12/21,12/22
1201,SUNY New Paltz,2.9000000000000012,Masters,Chicago,M,N/A,0,0,3,Data scientist,4/16,N/A,Senior SWE,5/13,5/22,ML Engineer,11/20,11/21
1202,SUNY Binghamton University,2.9000000000000012,Bachelors,Miami,M,0,1,1,3,Data scientist,9/18,9/22,Bus Driver,11/11,12/11,Senior SWE,5/11,5/20
1203,Bentley University,1.5000000000000002,Phd,Los Angeles,N/A,0,0,N/A,1,Bus Driver,11/19,12/19,N/A,N/A,N/A,N/A,N/A,N/A
1204,Colgate University,1.3,Masters,Miami,N/A,N/A,1,0,3,Lawyer,3/22,5/22,Chef,6/23,12/23,Bus Driver,3/17,3/21
1205,Providence College,3.5000000000000018,Masters,New York City,M,0,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1206,Brown University,3.900000000000002,Bachelors,Detroit,N/A,N/A,0,N/A,3,Chef,4/21,5/21,Lawyer,8/15,8/16,Junior SWE,9/21,10/21
1207,Providence College,2.700000000000001,Bachelors,Washington D.C.,M,1,0,N/A,2,ML Engineer,7/13,7/20,Data scientist,7/22,8/22,N/A,N/A,N/A
1208,Colgate University,3.6000000000000023,Bachelors,Miami,N/A,0,0,0,1,Chef,5/14,5/22,Bus Driver,6/22,9/22,Lawyer,8/10,8/15
1209,Bentley University,2.9000000000000012,Phd,Washington D.C.,N/A,N/A,0,0,0,Bus Driver,8/22,11/22,Lawyer,12/21,1/22,Data scientist,7/20,7/22
1210,Colgate University,1.2,Phd,Chicago,F,1,0,N/A,4,Junior SWE,12/18,12/22,Bus Driver,10/15,11/15,Senior SWE,4/12,4/14
1211,Colgate University,2.3000000000000007,Masters,Providence,F,0,0,0,3,Chef,11/18,11/19,ML Engineer,6/20,6/21,Chef,11/20,11/21
1212,Rhode Island School of Design,1.7000000000000004,Bachelors,Miami,M,N/A,0,1,1,ML Engineer,1/17,1/20,Junior SWE,1/16,1/17,ML Engineer,11/12,11/15
1213,Colgate University,1.2,Bachelors,Providence,N/A,1,0,N/A,4,Data scientist,4/22,5/22,Data scientist,9/19,9/20,Data scientist,8/19,12/19
1214,Rhode Island School of Design,2.4000000000000012,Masters,Providence,F,N/A,1,1,3,ML Engineer,11/21,11/22,Data scientist,1/10,1/13,Data scientist,9/16,9/17
1215,Providence College,1.6000000000000003,Masters,Washington D.C.,F,N/A,0,1,4,ML Engineer,3/13,4/13,Senior SWE,6/20,10/20,N/A,N/A,N/A
1216,SUNY Binghamton University,1.4000000000000001,Bachelors,New York City,F,0,1,0,0,Bus Driver,5/13,5/21,ML Engineer,8/10,8/11,N/A,N/A,N/A
1217,Rhode Island School of Design,3.6000000000000023,Masters,Los Angeles,F,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1218,SUNY Binghamton University,2.000000000000001,Bachelors,Miami,M,1,0,0,1,Chef,9/18,9/21,Senior SWE,11/11,11/22,N/A,N/A,N/A
1219,Rhode Island School of Design,1.6000000000000003,Masters,Washington D.C.,N/A,N/A,0,N/A,0,ML Engineer,12/17,1/18,Lawyer,7/15,7/18,Junior SWE,8/22,10/22
1220,Brown University,1.2,Phd,New York City,N/A,1,0,1,0,Chef,1/21,N/A,Lawyer,7/17,7/18,Chef,12/11,12/20
1221,Bentley University,1.8000000000000005,Bachelors,Washington D.C.,M,0,1,0,4,Junior SWE,1/12,1/17,Lawyer,11/12,11/16,Lawyer,8/12,8/21
1222,SUNY Binghamton University,1.2,Phd,Miami,F,0,0,N/A,2,Chef,3/12,3/20,Data scientist,4/16,4/21,Data scientist,4/22,11/22
1223,Bentley University,1.4000000000000001,Bachelors,Boston,M,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1224,SUNY Binghamton University,2.3000000000000007,Phd,Providence,M,N/A,1,0,4,Lawyer,11/11,11/22,Lawyer,10/19,10/22,Junior SWE,6/19,6/20
1225,SUNY New Paltz,3.8000000000000025,Masters,New York City,M,0,0,N/A,2,Lawyer,5/20,5/22,Lawyer,8/14,8/15,Lawyer,6/11,6/17
1226,Rhode Island School of Design,3.0000000000000018,Phd,Miami,N/A,N/A,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1227,SUNY Binghamton University,1.9000000000000006,Phd,Washington D.C.,N/A,1,1,1,0,ML Engineer,12/12,12/21,ML Engineer,5/18,5/21,N/A,N/A,N/A
1228,Bentley University,2.9000000000000012,Masters,Washington D.C.,M,N/A,0,N/A,2,Lawyer,6/20,6/22,N/A,N/A,N/A,N/A,N/A,N/A
1229,Colgate University,1.9000000000000006,Phd,Miami,N/A,N/A,0,1,2,ML Engineer,3/12,9/12,Senior SWE,10/16,10/17,Chef,12/20,12/21
1230,Columbia University,3.0000000000000018,Masters,Providence,N/A,N/A,1,1,3,ML Engineer,3/10,3/21,Senior SWE,9/21,12/21,N/A,N/A,N/A
1231,Providence College,3.3000000000000016,Phd,Detroit,F,N/A,1,1,2,ML Engineer,4/10,4/11,Lawyer,7/18,7/19,Chef,9/12,9/18
1232,SUNY New Paltz,2.8000000000000016,Bachelors,New York City,N/A,0,1,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1233,Rhode Island School of Design,2.200000000000001,Phd,Chicago,F,0,1,0,1,Senior SWE,7/22,9/22,Chef,2/12,8/12,Junior SWE,5/10,5/19
1234,SUNY New Paltz,3.8000000000000025,Bachelors,Washington D.C.,F,1,0,0,4,ML Engineer,3/13,3/21,Chef,12/13,1/14,Data scientist,1/18,1/22
1235,Columbia University,3.400000000000002,Bachelors,Providence,M,0,0,N/A,1,Data scientist,10/22,11/22,Junior SWE,6/19,6/20,ML Engineer,7/13,12/13
1236,Brown University,3.700000000000002,Phd,Detroit,M,N/A,1,1,0,Data scientist,1/23,2/23,Data scientist,7/15,7/20,Junior SWE,8/22,12/22
1237,Bentley University,3.0000000000000018,Phd,Boston,F,N/A,1,N/A,1,Bus Driver,10/10,11/10,Senior SWE,10/16,10/22,Bus Driver,5/14,5/21
1238,Columbia University,2.6000000000000014,Masters,Providence,M,0,0,N/A,2,Data scientist,11/19,11/21,ML Engineer,11/18,11/20,ML Engineer,2/21,2/22
1239,Brown University,3.1000000000000014,Masters,Detroit,F,1,0,0,0,Junior SWE,9/17,9/22,ML Engineer,1/12,1/19,Data scientist,3/20,12/20
1240,Bentley University,2.1000000000000005,Masters,Chicago,M,N/A,1,0,2,Chef,10/22,11/22,Data scientist,12/18,12/21,N/A,N/A,N/A
1241,SUNY New Paltz,3.5000000000000018,Bachelors,Miami,N/A,0,0,N/A,4,Bus Driver,5/21,5/22,Data scientist,7/14,8/14,Data scientist,8/14,8/16
1242,Rhode Island School of Design,2.9000000000000012,Bachelors,Detroit,F,0,1,1,4,ML Engineer,5/22,9/22,N/A,N/A,N/A,N/A,N/A,N/A
1243,Brown University,1.2,Masters,Providence,M,0,0,1,4,Data scientist,4/23,12/23,Chef,12/12,12/20,Chef,1/17,1/18
1244,Rhode Island School of Design,2.6000000000000014,Masters,New York City,F,N/A,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1245,Providence College,2.4000000000000012,Phd,Miami,F,1,1,0,1,Bus Driver,1/21,N/A,Lawyer,1/20,5/20,Junior SWE,5/17,5/21
1246,SUNY Binghamton University,3.8000000000000025,Masters,Chicago,M,1,1,0,0,Junior SWE,2/17,11/17,Data scientist,11/14,11/19,Chef,8/13,8/17
1247,Providence College,1.3,Masters,Los Angeles,N/A,N/A,0,0,1,Senior SWE,4/16,4/17,Bus Driver,7/13,10/13,Bus Driver,8/20,8/22
1248,Providence College,2.4000000000000012,Masters,Detroit,F,0,0,0,0,Data scientist,10/23,11/23,Bus Driver,7/12,7/22,Senior SWE,9/23,11/23
1249,Providence College,1.5000000000000002,Masters,Detroit,N/A,1,1,0,0,ML Engineer,1/12,7/12,Junior SWE,8/23,10/23,Lawyer,1/20,1/22
1250,SUNY New Paltz,1.6000000000000003,Phd,New York City,F,N/A,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1251,Bentley University,3.6000000000000023,Masters,Chicago,F,1,1,N/A,0,Chef,4/15,4/21,Senior SWE,2/15,2/21,Senior SWE,7/21,9/21
1252,Brown University,3.900000000000002,Phd,Detroit,N/A,1,1,1,1,Senior SWE,2/22,12/22,Lawyer,5/20,5/22,Senior SWE,7/11,7/21
1253,Providence College,3.0000000000000018,Bachelors,Boston,N/A,0,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1254,Rhode Island School of Design,3.400000000000002,Phd,Chicago,M,0,1,N/A,3,Junior SWE,12/21,12/22,Lawyer,4/10,4/18,ML Engineer,3/11,3/13
1255,Rhode Island School of Design,3.0000000000000018,Phd,Miami,M,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1256,Rhode Island School of Design,3.6000000000000023,Masters,Chicago,N/A,N/A,0,1,4,Bus Driver,7/10,8/10,Lawyer,11/19,11/22,Bus Driver,7/11,7/17
1257,SUNY Binghamton University,3.400000000000002,Phd,Providence,N/A,1,0,1,2,Chef,10/18,10/21,Data scientist,1/23,7/23,Senior SWE,5/20,5/22
1258,Providence College,1.8000000000000005,Phd,Providence,M,0,1,N/A,0,Bus Driver,9/14,9/19,Junior SWE,11/19,11/20,Bus Driver,9/20,9/21
1259,Colgate University,3.900000000000002,Phd,Washington D.C.,M,N/A,0,0,4,Bus Driver,6/20,6/22,Chef,7/10,7/19,Data scientist,8/22,12/22
1260,Columbia University,4.000000000000003,Masters,Miami,F,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1261,SUNY New Paltz,2.4000000000000012,Masters,Washington D.C.,N/A,0,1,1,0,ML Engineer,8/18,8/19,Lawyer,6/23,11/23,Chef,3/11,3/12
1262,Brown University,2.6000000000000014,Bachelors,Boston,F,1,1,0,3,Lawyer,1/18,7/18,Data scientist,1/11,1/17,Chef,3/17,3/21
1263,Bentley University,3.200000000000002,Phd,Boston,N/A,N/A,0,N/A,3,Junior SWE,5/12,5/15,ML Engineer,7/18,7/20,ML Engineer,10/17,12/17
1264,SUNY New Paltz,2.3000000000000007,Masters,Washington D.C.,N/A,1,1,1,4,Junior SWE,2/21,N/A,Junior SWE,1/16,1/22,Chef,12/10,12/17
1265,Providence College,1.6000000000000003,Phd,New York City,F,1,1,0,4,Bus Driver,3/23,6/23,Chef,11/17,11/21,N/A,N/A,N/A
1266,Providence College,4.000000000000003,Bachelors,Washington D.C.,F,1,1,N/A,3,Junior SWE,4/11,4/20,Lawyer,3/23,9/23,ML Engineer,8/18,8/20
1267,Brown University,2.9000000000000012,Phd,Chicago,F,0,0,N/A,0,ML Engineer,12/20,1/21,ML Engineer,11/23,12/23,ML Engineer,3/21,3/22
1268,Bentley University,3.1000000000000014,Phd,New York City,M,1,0,0,2,Data scientist,8/19,8/20,ML Engineer,3/13,3/19,Data scientist,9/16,9/17
1269,Rhode Island School of Design,3.6000000000000023,Bachelors,Providence,M,N/A,0,1,3,Data scientist,2/22,3/22,Junior SWE,3/17,3/19,Data scientist,5/11,5/12
1270,SUNY New Paltz,3.3000000000000016,Masters,Miami,F,N/A,0,1,3,Data scientist,6/16,6/18,Data scientist,2/10,2/22,Bus Driver,5/12,5/15
1271,Columbia University,3.700000000000002,Masters,Miami,M,0,1,0,1,Chef,5/10,9/10,Bus Driver,2/20,8/20,Bus Driver,2/10,2/18
1272,Columbia University,3.400000000000002,Phd,Washington D.C.,M,0,0,0,1,Bus Driver,4/11,4/15,Data scientist,2/21,2/22,Junior SWE,8/22,10/22
1273,SUNY Binghamton University,1.6000000000000003,Masters,Boston,F,N/A,0,1,1,Bus Driver,5/13,5/18,Chef,11/12,11/15,Data scientist,8/13,8/17
1274,Rhode Island School of Design,2.6000000000000014,Masters,Boston,F,0,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1275,Bentley University,2.200000000000001,Bachelors,New York City,N/A,N/A,0,1,0,Chef,4/12,4/17,N/A,N/A,N/A,N/A,N/A,N/A
1276,SUNY Binghamton University,1.7000000000000004,Phd,Miami,F,N/A,1,1,0,Data scientist,5/14,5/15,Chef,3/19,8/19,Chef,10/15,10/22
1277,SUNY New Paltz,3.1000000000000014,Masters,Detroit,M,0,1,1,2,Bus Driver,5/12,5/22,Junior SWE,1/19,1/21,Junior SWE,1/14,1/16
1278,Brown University,1.3,Phd,Boston,F,1,0,N/A,2,Data scientist,11/18,11/19,Junior SWE,8/10,8/12,Senior SWE,1/18,10/18
1279,Providence College,1.3,Phd,Washington D.C.,M,0,1,N/A,4,Chef,10/11,10/22,Senior SWE,12/12,1/13,ML Engineer,4/10,4/16
1280,Colgate University,1.5000000000000002,Masters,New York City,F,0,1,1,4,ML Engineer,4/17,4/19,Bus Driver,1/20,1/21,Data scientist,8/23,9/23
1281,Columbia University,3.400000000000002,Masters,Washington D.C.,F,N/A,1,1,1,Lawyer,11/19,12/19,Junior SWE,6/19,6/20,Senior SWE,8/22,11/22
1282,SUNY New Paltz,3.400000000000002,Phd,Boston,N/A,0,0,1,4,ML Engineer,7/21,9/21,N/A,N/A,N/A,N/A,N/A,N/A
1283,Colgate University,2.8000000000000016,Bachelors,Chicago,F,0,0,N/A,4,ML Engineer,4/12,4/20,Lawyer,4/17,8/17,Chef,5/12,5/14
1284,Columbia University,3.6000000000000023,Bachelors,Boston,M,0,1,1,4,Bus Driver,11/22,12/22,Data scientist,4/13,4/20,Data scientist,12/23,1/24
1285,Brown University,1.7000000000000004,Masters,Miami,F,0,1,N/A,4,Chef,3/20,4/20,Lawyer,6/11,6/21,ML Engineer,8/12,8/21
1286,Rhode Island School of Design,2.500000000000001,Bachelors,Providence,F,N/A,1,N/A,4,Junior SWE,6/23,N/A,Chef,9/15,9/18,ML Engineer,9/13,9/22
1287,Colgate University,1.5000000000000002,Bachelors,Miami,M,1,0,0,4,Bus Driver,5/23,N/A,Chef,7/22,11/22,N/A,N/A,N/A
1288,Columbia University,3.8000000000000025,Masters,Providence,M,N/A,0,N/A,4,Data scientist,9/22,10/22,Chef,9/12,9/16,Chef,11/14,11/18
1289,Brown University,2.200000000000001,Masters,Washington D.C.,N/A,N/A,1,N/A,4,Junior SWE,12/17,12/20,Senior SWE,8/12,8/17,Lawyer,8/19,8/22
1290,SUNY Binghamton University,3.400000000000002,Bachelors,Detroit,F,N/A,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1291,SUNY Binghamton University,2.1000000000000005,Phd,Washington D.C.,N/A,0,1,N/A,4,Bus Driver,5/16,N/A,Bus Driver,3/10,3/16,Junior SWE,4/13,4/15
1292,Rhode Island School of Design,3.700000000000002,Masters,Boston,N/A,1,0,1,4,Junior SWE,12/14,12/15,Senior SWE,12/21,12/22,N/A,N/A,N/A
1293,Colgate University,1.6000000000000003,Bachelors,Detroit,M,N/A,1,1,2,Lawyer,4/21,N/A,Chef,11/19,11/20,Bus Driver,7/13,7/20
1294,Brown University,1.8000000000000005,Phd,Chicago,N/A,N/A,0,N/A,3,Lawyer,12/23,1/24,Junior SWE,10/21,10/22,Lawyer,10/14,10/21
1295,Providence College,3.400000000000002,Bachelors,Washington D.C.,M,N/A,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1296,Columbia University,2.4000000000000012,Bachelors,Chicago,F,0,0,1,4,Chef,7/16,7/22,Chef,3/13,3/22,Data scientist,12/22,1/23
1297,Rhode Island School of Design,1.4000000000000001,Bachelors,New York City,M,0,0,N/A,0,ML Engineer,1/23,N/A,Data scientist,6/15,6/20,ML Engineer,11/11,11/21
1298,Colgate University,3.200000000000002,Masters,Detroit,F,N/A,1,1,1,Senior SWE,1/18,1/22,Bus Driver,5/18,10/18,Lawyer,1/17,1/19
1299,SUNY New Paltz,2.200000000000001,Masters,New York City,F,N/A,0,1,4,ML Engineer,6/21,6/22,Data scientist,5/23,9/23,Bus Driver,5/10,5/21
1300,Colgate University,3.1000000000000014,Bachelors,Providence,N/A,0,1,N/A,0,Bus Driver,2/20,2/21,Lawyer,2/22,7/22,Chef,2/13,2/20
1301,Providence College,3.400000000000002,Masters,Los Angeles,M,0,1,0,4,Lawyer,10/10,10/19,N/A,N/A,N/A,N/A,N/A,N/A
1302,Bentley University,3.3000000000000016,Masters,Providence,M,0,1,1,3,Bus Driver,4/16,4/18,Junior SWE,4/13,4/19,Junior SWE,12/10,12/15
1303,SUNY Binghamton University,1.4000000000000001,Phd,Providence,F,1,0,N/A,4,Bus Driver,5/14,5/22,Lawyer,10/17,10/18,Junior SWE,8/16,8/19
1304,Columbia University,1.7000000000000004,Bachelors,Chicago,F,0,0,N/A,2,Chef,4/19,4/22,ML Engineer,1/11,1/15,ML Engineer,7/20,7/22
1305,Brown University,3.5000000000000018,Masters,New York City,N/A,N/A,1,1,2,Junior SWE,6/17,6/18,Junior SWE,3/12,3/13,N/A,N/A,N/A
1306,Providence College,1.6000000000000003,Masters,Detroit,F,0,0,1,0,Lawyer,4/17,4/21,ML Engineer,11/23,12/23,Chef,11/19,12/19
1307,Providence College,3.6000000000000023,Phd,Providence,M,0,1,N/A,2,Senior SWE,1/12,N/A,Bus Driver,8/11,8/22,Lawyer,7/16,7/22
1308,Colgate University,3.3000000000000016,Phd,Los Angeles,M,0,0,N/A,1,Senior SWE,2/18,4/18,Senior SWE,7/18,7/22,Senior SWE,8/14,8/17
1309,SUNY Binghamton University,1.2,Phd,Boston,F,0,1,1,4,Bus Driver,1/10,1/13,Lawyer,8/15,8/20,Chef,4/18,4/19
1310,Providence College,1.9000000000000006,Phd,Miami,F,0,1,0,4,Data scientist,12/13,12/14,Junior SWE,11/18,11/22,Lawyer,2/16,2/19
1311,Brown University,3.5000000000000018,Phd,Washington D.C.,F,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1312,Brown University,4.000000000000003,Phd,Los Angeles,N/A,N/A,1,1,1,Senior SWE,1/21,6/21,Lawyer,7/17,7/21,Bus Driver,7/23,10/23
1313,Colgate University,1.2,Bachelors,New York City,F,1,0,N/A,0,Data scientist,3/10,3/18,Chef,11/13,11/17,Junior SWE,2/11,2/13
1314,Columbia University,1.9000000000000006,Phd,Washington D.C.,F,N/A,1,0,1,Senior SWE,5/22,11/22,Data scientist,4/23,6/23,Senior SWE,12/14,12/21
1315,Rhode Island School of Design,1.9000000000000006,Phd,New York City,M,N/A,0,0,1,Junior SWE,1/14,1/19,Senior SWE,6/22,10/22,Chef,7/16,7/20
1316,Brown University,3.5000000000000018,Bachelors,Detroit,N/A,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1317,Rhode Island School of Design,2.1000000000000005,Bachelors,Providence,N/A,0,1,1,2,Bus Driver,7/18,11/18,Data scientist,1/23,12/23,ML Engineer,12/14,12/20
1318,Columbia University,3.6000000000000023,Bachelors,Detroit,N/A,N/A,0,0,2,ML Engineer,12/19,12/22,ML Engineer,9/11,9/16,Lawyer,11/18,11/22
1319,Providence College,4.000000000000003,Masters,Los Angeles,F,N/A,0,N/A,1,Senior SWE,6/21,6/22,Junior SWE,7/21,7/22,Bus Driver,8/14,8/15
1320,Columbia University,2.1000000000000005,Bachelors,Boston,N/A,N/A,0,N/A,0,ML Engineer,11/13,11/20,Bus Driver,11/14,11/22,ML Engineer,3/16,3/18
1321,Brown University,1.6000000000000003,Bachelors,New York City,N/A,1,1,N/A,3,ML Engineer,2/10,2/18,Junior SWE,1/10,1/22,Lawyer,10/20,11/20
1322,Rhode Island School of Design,2.700000000000001,Masters,Boston,N/A,N/A,0,1,0,Senior SWE,5/21,12/21,Chef,7/11,7/17,Senior SWE,10/17,10/19
1323,Colgate University,1.8000000000000005,Masters,Boston,N/A,0,0,N/A,1,ML Engineer,12/10,N/A,Senior SWE,9/15,9/20,Lawyer,9/13,9/15
1324,SUNY New Paltz,1.8000000000000005,Phd,Los Angeles,M,1,0,0,4,Senior SWE,10/20,N/A,Chef,11/20,11/22,Chef,8/23,9/23
1325,Bentley University,3.900000000000002,Phd,Providence,N/A,N/A,1,1,1,Bus Driver,8/19,8/20,N/A,N/A,N/A,N/A,N/A,N/A
1326,Brown University,1.6000000000000003,Phd,Washington D.C.,N/A,0,1,0,4,Data scientist,10/21,11/21,ML Engineer,3/21,3/22,Bus Driver,2/14,10/14
1327,SUNY Binghamton University,1.7000000000000004,Masters,Chicago,M,N/A,0,0,2,ML Engineer,8/23,N/A,Lawyer,4/18,4/19,N/A,N/A,N/A
1328,Colgate University,1.2,Phd,Chicago,F,N/A,1,0,3,Lawyer,11/11,11/20,ML Engineer,8/10,8/21,Bus Driver,4/17,4/21
1329,Brown University,3.6000000000000023,Masters,Washington D.C.,F,1,0,0,2,Bus Driver,8/11,8/14,ML Engineer,6/20,6/21,Chef,2/15,2/18
1330,Colgate University,2.9000000000000012,Phd,Chicago,F,N/A,0,1,2,Senior SWE,7/14,7/21,Data scientist,12/22,1/23,N/A,N/A,N/A
1331,Rhode Island School of Design,1.5000000000000002,Phd,Boston,F,N/A,1,0,3,Chef,12/12,N/A,Junior SWE,9/22,10/22,Data scientist,6/23,7/23
1332,Providence College,1.2,Masters,Washington D.C.,M,N/A,1,0,4,Data scientist,1/21,4/21,Chef,6/12,6/22,Senior SWE,6/15,6/19
1333,SUNY Binghamton University,3.1000000000000014,Masters,New York City,N/A,N/A,0,N/A,0,ML Engineer,9/15,9/19,Chef,3/22,6/22,Junior SWE,5/15,5/18
1334,Bentley University,2.000000000000001,Masters,Miami,F,N/A,0,0,4,Junior SWE,9/21,9/22,Senior SWE,10/14,10/16,Senior SWE,4/14,4/22
1335,SUNY New Paltz,1.3,Phd,Washington D.C.,M,1,0,1,3,Junior SWE,12/21,12/22,Data scientist,6/20,6/22,Chef,2/12,2/17
1336,Rhode Island School of Design,3.900000000000002,Bachelors,Miami,N/A,N/A,0,1,4,Chef,9/18,9/21,Senior SWE,2/15,9/15,Chef,12/22,1/23
1337,Bentley University,1.9000000000000006,Masters,Boston,F,N/A,0,1,4,Junior SWE,4/11,4/21,N/A,N/A,N/A,N/A,N/A,N/A
1338,Brown University,3.700000000000002,Masters,New York City,N/A,N/A,0,0,4,Lawyer,7/23,12/23,Chef,9/22,10/22,Senior SWE,2/15,2/20
1339,Colgate University,2.9000000000000012,Bachelors,Detroit,F,N/A,0,0,0,ML Engineer,3/22,5/22,ML Engineer,4/20,4/22,N/A,N/A,N/A
1340,Bentley University,1.2,Bachelors,Los Angeles,F,N/A,0,N/A,4,Junior SWE,9/13,9/21,Lawyer,4/21,6/21,Chef,10/11,10/20
1341,Rhode Island School of Design,3.200000000000002,Masters,Miami,M,N/A,1,N/A,1,Chef,11/13,11/19,Bus Driver,8/21,10/21,ML Engineer,1/18,9/18
1342,SUNY New Paltz,1.4000000000000001,Masters,Miami,M,1,1,N/A,2,Lawyer,4/17,12/17,Data scientist,10/14,10/16,N/A,N/A,N/A
1343,Colgate University,3.6000000000000023,Bachelors,Los Angeles,M,0,1,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1344,SUNY New Paltz,1.5000000000000002,Masters,Chicago,N/A,0,1,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1345,Columbia University,2.1000000000000005,Bachelors,Chicago,N/A,1,1,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1346,Providence College,2.500000000000001,Phd,Los Angeles,F,1,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1347,Colgate University,1.5000000000000002,Masters,Chicago,N/A,0,1,N/A,2,Bus Driver,10/18,10/21,N/A,N/A,N/A,N/A,N/A,N/A
1348,SUNY New Paltz,2.4000000000000012,Masters,Detroit,N/A,0,1,1,4,Lawyer,9/15,9/19,Bus Driver,4/13,4/21,Junior SWE,12/20,12/22
1349,Columbia University,2.200000000000001,Masters,Washington D.C.,N/A,1,1,1,0,Junior SWE,7/23,10/23,ML Engineer,10/11,10/15,Lawyer,8/17,8/22
1350,Providence College,2.200000000000001,Masters,Boston,M,1,1,0,4,Senior SWE,6/20,6/22,Bus Driver,7/20,7/21,Chef,5/23,8/23
1351,Providence College,1.8000000000000005,Phd,Detroit,F,0,0,0,2,Senior SWE,4/11,4/18,Junior SWE,9/19,10/19,Lawyer,9/13,9/18
1352,Providence College,1.5000000000000002,Masters,Detroit,M,N/A,1,1,3,Senior SWE,9/17,9/21,Chef,10/23,12/23,Chef,5/15,5/22
1353,Columbia University,3.900000000000002,Phd,Los Angeles,N/A,0,0,N/A,2,Bus Driver,6/22,10/22,Chef,2/20,4/20,Data scientist,4/12,4/13
1354,Colgate University,1.3,Phd,Boston,N/A,0,0,0,4,Junior SWE,7/17,7/18,Bus Driver,2/15,9/15,Data scientist,6/13,6/15
1355,Providence College,3.8000000000000025,Masters,Los Angeles,N/A,N/A,0,1,3,Chef,9/16,9/17,Lawyer,6/11,6/20,Data scientist,7/16,7/22
1356,Columbia University,2.700000000000001,Masters,Los Angeles,N/A,1,0,1,1,Junior SWE,6/20,6/21,Lawyer,1/13,1/18,N/A,N/A,N/A
1357,Providence College,3.900000000000002,Bachelors,Los Angeles,M,N/A,0,N/A,1,Senior SWE,12/10,12/22,Data scientist,9/12,9/21,Senior SWE,8/21,8/22
1358,Colgate University,2.500000000000001,Bachelors,Chicago,N/A,0,1,0,1,Chef,3/12,3/15,ML Engineer,8/19,11/19,Junior SWE,2/10,2/12
1359,SUNY New Paltz,2.6000000000000014,Bachelors,Chicago,F,0,0,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1360,SUNY New Paltz,1.8000000000000005,Phd,Washington D.C.,F,0,1,1,2,ML Engineer,4/13,N/A,Bus Driver,9/20,9/21,Bus Driver,11/14,11/20
1361,Brown University,1.2,Bachelors,Providence,M,1,1,1,3,Junior SWE,10/14,10/22,N/A,N/A,N/A,N/A,N/A,N/A
1362,Bentley University,1.4000000000000001,Phd,Providence,F,1,0,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
